city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Kyiv,50.45,30.5233,Ukraine,UA,"Kyiv, Misto",primary,2963199.0,2962180.0
Kharkiv,49.9925,36.2311,Ukraine,UA,Kharkivska Oblast,admin,1446107.0,1433886.0
Odesa,46.4775,30.7326,Ukraine,UA,Odeska Oblast,admin,1017699.0,1015826.0
Dnipro,48.4675,35.04,Ukraine,UA,Dnipropetrovska Oblast,admin,980948.0,980948.0
Donetsk,48.0028,37.8053,Ukraine,UA,Donetska Oblast,admin,929063.0,929063.0
Zaporizhzhia,47.85,35.1175,Ukraine,UA,Zaporizka Oblast,admin,741717.0,710052.0
Lviv,49.8425,24.0322,Ukraine,UA,Lvivska Oblast,admin,724314.0,724314.0
Kryvyi Rih,47.9086,33.3433,Ukraine,UA,Dnipropetrovska Oblast,minor,629695.0,603237.0
Sevastopol,44.605,33.5225,Ukraine,UA,"Sevastopol, Misto",admin,522057.0,522057.0
Mykolaiv,46.975,31.995,Ukraine,UA,Mykolaivska Oblast,admin,498748.0,470011.0
Mariupol,47.0958,37.5494,Ukraine,UA,Donetska Oblast,minor,449498.0,449498.0
Luhansk,48.5667,39.3333,Ukraine,UA,Luhanska Oblast,admin,417990.0,417990.0
Vinnytsia,49.2333,28.4833,Ukraine,UA,Vinnytska Oblast,admin,371855.0,370601.0
Makiivka,48.0556,37.9611,Ukraine,UA,Donetska Oblast,minor,343158.0,343158.0
Simferopol,44.9484,34.1,Ukraine,UA,"Krym, Avtonomna Respublika",admin,341799.0,340540.0
Poltava,49.5894,34.5514,Ukraine,UA,Poltavska Oblast,admin,317847.0,283402.0
Chernihiv,51.4939,31.2947,Ukraine,UA,Chernihivska Oblast,admin,294522.0,286899.0
Kherson,46.6425,32.625,Ukraine,UA,Khersonska Oblast,admin,291428.0,283649.0
Cherkasy,49.4444,32.0597,Ukraine,UA,Cherkaska Oblast,admin,276360.0,269836.0
Khmelnytskyi,49.4167,27.0,Ukraine,UA,Khmelnytska Oblast,admin,274176.0,274176.0
Chernivtsi,48.3,25.9333,Ukraine,UA,Chernivetska Oblast,admin,266550.0,265471.0
Sumy,50.9167,34.75,Ukraine,UA,Sumska Oblast,admin,265758.0,265758.0
Zhytomyr,50.25,28.6667,Ukraine,UA,Zhytomyrska Oblast,admin,264452.0,263507.0
Horlivka,48.3336,38.0925,Ukraine,UA,Donetska Oblast,minor,256714.0,256714.0
Rivne,50.6192,26.2519,Ukraine,UA,Rivnenska Oblast,admin,246574.0,245289.0
Ivano-Frankivsk,48.9228,24.7106,Ukraine,UA,Ivano-Frankivska Oblast,admin,238196.0,238196.0
Kamianske,48.5167,34.6167,Ukraine,UA,Dnipropetrovska Oblast,minor,235066.0,229794.0
Kropyvnytskyi,48.5,32.2667,Ukraine,UA,Kirovohradska Oblast,admin,227413.0,227413.0
Ternopil,49.5667,25.6,Ukraine,UA,Ternopilska Oblast,admin,225238.0,225238.0
Kremenchuk,49.0631,33.4039,Ukraine,UA,Poltavska Oblast,minor,220174.0,220174.0
Lutsk,50.75,25.3358,Ukraine,UA,Volynska Oblast,admin,217197.0,217197.0
Bila Tserkva,49.7956,30.1167,Ukraine,UA,Kyivska Oblast,minor,208944.0,208944.0
Kramatorsk,48.7392,37.5839,Ukraine,UA,Donetska Oblast,minor,159445.0,147145.0
Melitopol,46.8489,35.3675,Ukraine,UA,Zaporizka Oblast,minor,154992.0,154992.0
Sievierodonetsk,48.9481,38.4933,Ukraine,UA,Luhanska Oblast,minor,150000.0,150000.0
Kerch,45.3619,36.4711,Ukraine,UA,"Krym, Avtonomna Respublika",minor,149566.0,149566.0
Drohobych,49.35,23.5,Ukraine,UA,Lvivska Oblast,minor,124269.0,74610.0
Khrustalnyi,48.1214,38.9453,Ukraine,UA,Luhanska Oblast,,124000.0,124000.0
Uzhhorod,48.6239,22.295,Ukraine,UA,Zakarpatska Oblast,admin,114897.0,114897.0
Berdiansk,46.7556,36.7889,Ukraine,UA,Zaporizka Oblast,minor,114205.0,107928.0
Sloviansk,48.8533,37.6059,Ukraine,UA,Donetska Oblast,,113196.0,113196.0
Nikopol,47.5667,34.4,Ukraine,UA,Dnipropetrovska Oblast,minor,110669.0,107464.0
Brovary,50.5111,30.79,Ukraine,UA,Kyivska Oblast,minor,109473.0,109473.0
Yevpatoriia,45.1939,33.3681,Ukraine,UA,"Krym, Avtonomna Respublika",minor,108248.0,108248.0
Pavlohrad,48.52,35.87,Ukraine,UA,Dnipropetrovska Oblast,minor,106082.0,103037.0
Alchevsk,48.4778,38.7978,Ukraine,UA,Luhanska Oblast,minor,105398.0,105398.0
Konotop,51.2369,33.2027,Ukraine,UA,Sumska Oblast,minor,103547.0,84787.0
Kamianets-Podilskyi,48.6806,26.5806,Ukraine,UA,Khmelnytska Oblast,minor,100462.0,100462.0
Lysychansk,48.9169,38.4306,Ukraine,UA,Luhanska Oblast,,96161.0,96161.0
Dovzhansk,48.0778,39.6472,Ukraine,UA,Luhanska Oblast,minor,95153.0,95153.0
Mukacheve,48.4414,22.7136,Ukraine,UA,Zakarpatska Oblast,minor,86257.0,86257.0
Uman,48.75,30.2167,Ukraine,UA,Cherkaska Oblast,minor,82762.0,82154.0
Chervonohrad,50.3822,24.2275,Ukraine,UA,Lvivska Oblast,minor,82395.0,82395.0
